Empresa,CNPJ,Fonte,Link,"Composição acionária – Formato:
Empresa 1 (xx%)
Empresa 2 (yy%)
Empresa 3 (zz%)","Controle sobre outras empresas – Formato:
Empresa 1 (xx%)
Empresa 2 (yy%)
Empresa 3 (zz%)",Observações,Código BOVESPA
Valepar,01.772.413/0001-57,Vale (site),"http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=VALE
http://www.vale.com.br/pt-br/investidores/resultados-e-informacoes-financeiras/relatorios-sec/Documents/2010/form20f/20F_2010_p.pdf","Litel Participações S.A. (49%)
Bradespar S.A. (21,1%)
Mitsui & Co., Ltd (18,25%)
Bndespar - BNDES Participacoes SA (11,51%)
Eletron S.A. (0,03%)","California Steel Industries - CSI (50,0%)
Norte Energia S.A. - NESA - Belo Monte (9,0%)
Consórcio de Estreito - hidrelétrica no rio Tocantins (30,0%)
Norsk Hydro ASA - Hydro (22,0%)
Mineração Rio do Norte S.A. - MRN (40,0%)
Mineração Paragominas S.A. (40,0%)
Logística S.A. - MRS (41,5%)
TKCSA (26,9%)
CADAM S.A. (61,5%)
Samarco Mineração S.A. (50,00001%)
Hispanobrás (50,9%)
FCA (99,9%)
Pará Pigmentos S.A. - PPSA (indefinido)",,
FIA - BB Carteira Ativa,01.578.476/0001-77,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=LTEL,Caixa de Previdência dos Funcionários do Banco do Brasil - PREVI (100%),,,
Carteira Ativa II FIA,04.194.710/0001-50,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=LTEL,"Fundação Dos Economiários Federais - Funcef (62,37%)
Fundação Petrobrás de Seguridade Social - Petros (37,63%)",,,
Cidade de Deus Cia. Cial. de Participações,61.529.343/0001-32,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=BRAP,"Nova Cidade de Deus Participações S.A. (44,9%)
Fundação Bradesco (33,2%)
Lina Maria Aguiar (8,51%)
Lia Maria Aguiar (7,01%)
Maria Angela Aguiar (4,72%)",,,
NCF Participações S.A., 04.233.319/0001-18,Econoinfo,,"Cidade de Deus Cia. Cial. de Participações (74,72%)
Fundação Bradesco (25,13%)
Nova Cidade de Deus Participações S.A. (0,15%)",,,
Nova Cidade de Deus Participações S.A., 04.866.462/0001-47,Econoinfo,,"BBD Participações S.A. (53,7%)
Fundação Bradesco (46,3%)",,,
BBD Participações S.A.,07.838.611/0001-52,Econoinfo,,"Lázaro de Mello Brandão (6,24%)",,,
Antares,07.341.926/0001-90,Bradespar (site),"http://www.bradespar.com.br/Bradespar/?vgnextoid=d07ee700c3427210VgnVCM100000242810acRCRD&vgnextchannel=d07ee700c3427210VgnVCM100000242810acRCRD
http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=BRAP",Bradespar (100%),"Millennium (100%)
CPFL Energia (1,7%)",Existe CPFL no ranking!,
Brumado,08.397.763/0001-20,Bradespar (site),"http://www.bradespar.com.br/Bradespar/?vgnextoid=d07ee700c3427210VgnVCM100000242810acRCRD&vgnextchannel=d07ee700c3427210VgnVCM100000242810acRCRD
http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=BRAP",Antares (100%),"CPFL Energia (3,6%)",Existe CPFL no ranking!,
Eletron S.A.,00.514.998/0001-42,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=VALE,"Opportunity Anafi Participações S.A. (99,98%)",,,
Opportunity Anafi Participações S.A.,02.992.366/0001-10,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=VALE,"Opportunity Holding FIP (36,8%)
Belapart S.A. (31,6%)
Valetron S.A. (31,6%)",,,
Belapart S.A.,01.608.571/0001-76,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=VALE,"Verônica Valente Dantas (50,7%)",,,
Valetron S.A.,01.772.313/0001-20,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=VALE,"Verônica Valente Dantas (50,7%)",,,
"Indac - Indústria, Administração e Comércio S.A.",92.690.817/0001-57,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=GOAU,Cindac Empreendimentos e Participações S.A. (100%),,,
Cindac Empreendimentos e Participações S.A., 89.550.883/0001-17,Gerdau (site),http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=GOAU,Stichting Gerdau Johannpeter (100%),,,
Stichting Gerdau Johannpeter,,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=GOAU,"Germano Hugo Gerdau Johannpeter (25%)
Klaus Gerdau Johannpeter (25%)
Frederico Carlos Gerdau Johannpeter (25%)",,,
Grupo Gerdau Empreendimentos Ltda,87.153.730/0001-00,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=GOAU,"Açoter Participações Ltda (43,3%)
Cindac Empreendimentos e Participações S.A. (32,1%)
Indac - Indústria, Administração e Comércio S.A. (22,4%)",,,
Açoter Participações Ltda, 02.290.525/0001-34,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=GOAU,Cindac Empreendimentos e Participações S.A. (100%),,,
Wilkes,04.745.350/0001-38,Diário Oficial,http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2012/Abril/28/empresarial/pdf/pg_0311.pdf,"Peninsula (31,15%)
Sudaco (68,85%)",,,
Peninsula,58.292.210/0001-80,Diário Oficial,http://diariooficial.imprensaoficial.com.br/doflash/prototipo/2012/Abril/28/empresarial/pdf/pg_0311.pdf,"Rafaela Marchesi Diniz (14,79%)
João Paulo Falleiros dos Santos Diniz (14,79%)
Pedro Paulo Falleiros dos Santos Diniz (14,79%)
Adriana Falleiros dos Santos Diniz (14,79%)
Miguel Marchesi Diniz (14,79%)
Ana Maria Falleiros dos Santos Diniz D'Avila (14,79%)
Abilio dos Santos Diniz (11,26%)","Pão de Açúcar (1,011921%)
Zabaleta      (49,928%)
Paic          (99,9999%)
Rio Plate     (99,9999%)",,
Sudaco,07.821.866/0001-02,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=PCAR,Casino Guichard Perrachon (100%),,,
Fb Participacoes S.A.,11.309.502/0001-15,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=JBSS,"Bertin Fundo de Investimento em Participações (48,52%)
J&F Participações S.A. (45,2%)
ZMF Fundo de Investimento em Participações (6,28%)
",,,
Bertin Fundo de Investimento em Participações,11.369.979/0001-96,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=JBSS,"Blessed Holdings (65,79%)
Bracol Holding Ltda. (34,21%)",,,
Bracol Holding Ltda.,01.597.168/0001-99,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=JBSS,Heber Participações S.A. (100%),,,
Heber Participações S.A.,01.523.814/0001-73,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=JBSS,"REIVO Participações S.A. (16,67%)
SRB Participações S.A. (16,67%)
BERF Participações S.A. (16,67%)
JBF Particapações S.A. (16,67%)
JUFERB Participações (16,67%)
VIAMAR Particapações S.A. (16,67%)
Natalino Bertin (0%)
João Bertin Filho (0%)
Fernando Antônio Bertin (0%)
Reinaldo Bertin (0%)
Silmar Roberto Bertin (0%)
Mario Henrique Frare Bertin  (0%)",,,
REIVO Participações S.A.,03.370.190/0001-27,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=JBSS,"Giovanni Prado Bertin (21,82%)
Renato Prado Bertin (21,82%)
Roberta Bertin Barros (21,82%)
Rubia Bertin Diniz Junqueira (21,82%)",,,
SRB Participações S.A.,09.352.093/0001-98,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=JBSS,"Silmar Roberto Bertin (100%)
José Henrique Santana Bertin (0%)",,,
BERF Participações S.A.,07.463.851/0001-10,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=JBSS,"Juracy Frare Bertin (75,28%)
Cláudia Maria Frare Bertin Paiva (8,24%)
Fernando Henrique Frare Bertin (8,24%)
Mario Henrique Frare Bertin (8,24%)",,,
JBF Particapações S.A.,09.420.237/0001-04,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=JBSS,"João Bertin Filho (100%)
Cleonice Espelho Verona Bertin (0%)",,,
JUFERB Participações,09.352.199/0001-91,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=JBSS,"Natalino Bertin (100%)
Fernanda Pereira Bertin (0%)
Natalino Bertin Junior (0%)",,,
VIAMAR Particapações S.A.,09.352.086/0001-96,Econoinfo,http://www.econoinfo.com.br/governanca/estrutura-acionaria?ce=JBSS,"Fernando Antônio Bertin (100%)
Mariana Granado Bertin (0%)
Vitor Granado Bertin (0%)
Aline Granado Bertin (0%)",,,
